temperature,humidity,cloudiness,wind_speed,latitude,longitude
24.47,57,33,4.26,14.95,77.27
-4.5,80,0,7.12,53.88,67.42
-22.0,69,63,8.0,69.49,88.4
21.64,78,40,4.6,30.58,-87.29
1.51,98,100,9.93,65.99,57.53
28.9,76,94,3.19,-10.62,150.67
28.13,84,2,4.74,6.75,-11.37
14.91,87,90,3.1,39.18,-84.53
-4.94,35,0,8.41,42.43,130.64
-1.98,75,42,8.45,47.1,-56.38
19.69,18,0,6.2,18.44,1.41
-25.57,82,90,6.59,63.01,112.47
25.0,100,40,1.0,-10.17,123.58
0.1,91,100,8.05,42.47,140.87
6.27,68,1,0.55,41.47,34.77
5.38,75,75,6.7,49.58,0.33
20.19,98,100,0.89,1.5,21.05
28.0,74,75,1.0,-7.31,-39.3
26.9,88,75,2.6,6.88,116.85
10.0,81,40,7.0,47.12,51.88
4.0,80,86,8.0,57.34,28.35
21.49,63,17,3.6,-34.58,150.86
7.75,75,94,1.5,40.85,-74.83
25.04,82,50,4.43,-28.78,32.04
26.27,94,75,3.09,-20.41,57.7
11.5,77,2,3.13,-46.28,169.85
1.83,88,97,5.11,58.77,47.96
25.28,79,44,2.78,-23.86,35.38
-5.0,92,75,2.0,69.2,33.45
-5.75,77,99,6.36,69.38,178.42
26.34,94,75,4.45,-19.98,57.61
24.33,10,1,8.2,40.59,-122.39
31.01,30,0,2.64,-26.79,-60.44
29.08,73,41,4.96,-2.57,150.8
25.0,78,23,3.06,4.93,-52.33
24.0,94,75,1.0,-6.09,-35.21
27.14,62,97,1.9,-21.48,-56.14
-6.41,83,49,1.08,35.6,103.21
17.78,67,1,0.45,-44.7,169.15
11.54,71,75,7.2,42.45,-87.83
-27.46,96,93,1.2,60.42,134.53
-5.69,68,0,5.5,40.28,97.2
25.99,90,100,2.14,4.87,-2.24
3.52,74,0,0.45,52.02,18.5
14.37,65,0,0.28,-45.42,167.72
4.48,75,69,9.3,58.21,-6.39
14.05,61,36,1.73,14.4,46.47
28.77,7,0,3.35,10.79,-0.85
25.41,77,78,2.65,13.31,123.34
29.68,75,56,9.83,-6.22,155.63
-17.31,85,100,1.9,59.58,151.28
27.0,74,10,2.1,12.48,-16.55
14.43,58,24,0.76,29.38,104.03
23.83,14,100,3.26,8.88,11.37
23.41,8,47,4.18,20.0,-3.0
